date,station,tmax,tmin,tavg,cdd26
2025/04/09,nagasaki,16.7,8.8,12.8,0
2025/04/09,kumamoto,18.1,9.7,13.9,0
2025/04/09,sapporo,9.5,1.1,5.3,0
2025/04/10,tokyo,16.8,7.6,12.2,0
2025/04/10,osaka,16.3,7.1,11.7,0
2025/04/10,kobe,15.8,6.9,11.4,0
2025/04/10,nagasaki,18.1,8.7,13.4,0
2025/04/10,kumamoto,17,9,13,0
2025/04/10,sapporo,9.7,1.3,5.5,0
2025/04/11,tokyo,17.4,9.2,13.3,0
2025/04/11,osaka,16.9,8.6,12.8,0
2025/04/11,kobe,17.3,8,12.7,0
2025/04/11,nagasaki,18,9.9,13.9,0
2025/04/11,kumamoto,16.8,8.2,12.5,0
2025/04/11,sapporo,10.1,0.9,5.5,0
2025/04/12,tokyo,15.5,6.2,10.8,0
2025/04/12,osaka,17.5,8.2,12.8,0
2025/04/12,kobe,16.4,8.6,12.5,0
2025/04/12,nagasaki,17,8.2,12.6,0
2025/04/12,kumamoto,18.4,9,13.7,0
2025/04/12,sapporo,8.6,0.7,4.6,0
2025/04/13,tokyo,16.2,7.9,12.1,0
2025/04/13,osaka,18.1,9.8,14,0
2025/04/13,kobe,17.9,9.7,13.8,0
2025/04/13,nagasaki,16.9,9.4,13.1,0
2025/04/13,kumamoto,18.2,10.2,14.2,0
2025/04/13,sapporo,9,0.3,4.7,0
2025/04/14,tokyo,16.8,7.5,12.2,0
2025/04/14,osaka,18.7,9.4,14.1,0
2025/04/14,kobe,16.9,8.3,12.6,0
2025/04/14,nagasaki,18.4,10.2,14.3,0
2025/04/14,kumamoto,17.3,8.5,12.9,0
2025/04/14,sapporo,10,0.6,5.3,0
2025/04/15,tokyo,17.4,9.1,13.3,0
2025/04/15,osaka,16.9,8.6,12.8,0
2025/04/15,kobe,18.5,9.5,14,0
2025/04/15,nagasaki,17.5,8.5,13,0
2025/04/15,kumamoto,18.9,11.4,15.1,0
2025/04/15,sapporo,10.4,2.2,6.3,0
2025/04/16,tokyo,18,8.7,13.3,0
2025/04/16,osaka,17.5,8.1,12.8,0
2025/04/16,kobe,17.5,8.1,12.8,0
2025/04/16,nagasaki,19.9,12.3,16.1,0
2025/04/16,kumamoto,18.7,10.5,14.6,0
2025/04/16,sapporo,11.5,2.6,7,0
2025/04/17,tokyo,18.6,10.2,14.4,0
2025/04/17,osaka,18.1,9.7,13.9,0
2025/04/17,kobe,19.1,11.2,15.2,0
2025/04/17,nagasaki,18.9,10.5,14.7,0
2025/04/17,kumamoto,17.8,8.9,13.4,0
2025/04/17,sapporo,10,2.4,6.2,0
2025/04/18,tokyo,19.3,9.9,14.6,0
2025/04/18,osaka,18.7,9.3,14,0
2025/04/18,kobe,18.1,9.8,14,0
2025/04/18,nagasaki,18.8,9.8,14.3,0
2025/04/18,kumamoto,20.1,12.5,16.3,0
2025/04/18,sapporo,10.4,2.1,6.3,0
2025/04/19,tokyo,17.4,9,13.2,0
2025/04/19,osaka,19.3,10.9,15.1,0
2025/04/19,kobe,19.7,11,15.3,0
2025/04/19,nagasaki,20.3,12.5,16.4,0
2025/04/19,kumamoto,19.2,10.9,15.1,0
2025/04/19,sapporo,11.5,2.5,7,0
2025/04/20,tokyo,17.7,8.8,13.3,0
2025/04/20,osaka,19.6,10.7,15.2,0
2025/04/20,kobe,18.6,10.7,14.7,0
2025/04/20,nagasaki,19.3,10,14.7,0
2025/04/20,kumamoto,20.6,12.7,16.6,0
2025/04/20,sapporo,11,1.8,6.4,0
2025/04/21,tokyo,18.3,10.4,14.4,0
2025/04/21,osaka,20.2,12.2,16.2,0
2025/04/21,kobe,20.1,11.7,15.9,0
2025/04/21,nagasaki,19.1,11.1,15.1,0
2025/04/21,kumamoto,20.5,12,16.3,0
2025/04/21,sapporo,12,4.1,8.1,0
2025/04/22,tokyo,18.9,9.9,14.4,0
2025/04/22,osaka,20.9,11.9,16.4,0
2025/04/22,kobe,19.1,10.3,14.7,0
2025/04/22,nagasaki,20.7,12,16.4,0
2025/04/22,kumamoto,19.6,10.3,15,0
2025/04/22,sapporo,12.4,3.8,8.1,0
2025/04/23,tokyo,19.5,11.5,15.5,0
2025/04/23,osaka,19,11,15,0
2025/04/23,kobe,20.7,11.5,16.1,0
2025/04/23,nagasaki,20.5,11.1,15.8,0
2025/04/23,kumamoto,19.4,11.5,15.4,0
2025/04/23,sapporo,13.5,4.2,8.8,0
2025/04/24,tokyo,20.2,11.2,15.7,0
2025/04/24,osaka,19.6,10.6,15.1,0
2025/04/24,kobe,19.7,12.1,15.9,0
2025/04/24,nagasaki,19.6,11.5,15.6,0
2025/04/24,kumamoto,21,12.3,16.6,0
2025/04/24,sapporo,11.3,3.2,7.3,0
2025/04/25,tokyo,20.8,12.8,16.8,0
2025/04/25,osaka,20.2,12.2,16.2,0
2025/04/25,kobe,21.3,13.3,17.3,0
2025/04/25,nagasaki,21.2,12.3,16.8,0
2025/04/25,kumamoto,20,10.6,15.3,0
2025/04/25,sapporo,12.4,3.6,8,0
2025/04/26,tokyo,18.9,9.9,14.4,0
2025/04/26,osaka,20.8,11.7,16.3,0
2025/04/26,kobe,20.3,11.8,16.1,0
2025/04/26,nagasaki,21,13.5,17.3,0
2025/04/26,kumamoto,19.9,11.8,15.8,0
2025/04/26,sapporo,13.4,5.9,9.7,0
2025/04/27,tokyo,19.5,11.4,15.4,0
2025/04/27,osaka,21.5,13.4,17.4,0
2025/04/27,kobe,21.9,13,17.4,0
2025/04/27,nagasaki,22.6,14.3,18.5,0
2025/04/27,kumamoto,21.4,12.6,17,0
2025/04/27,sapporo,13.8,5.5,9.7,0
2025/04/28,tokyo,20.1,11,15.6,0
2025/04/28,osaka,22.1,13,17.6,0
2025/04/28,kobe,20.9,11.6,16.3,0
2025/04/28,nagasaki,22.4,13.5,17.9,0
2025/04/28,kumamoto,21.3,11.8,16.6,0
2025/04/28,sapporo,12.4,3.4,7.9,0
2025/04/29,tokyo,20.7,12.6,16.6,0
2025/04/29,osaka,20.2,12.1,16.1,0
2025/04/29,kobe,19.9,12.2,16,0
2025/04/29,nagasaki,21.5,13.8,17.6,0
2025/04/29,kumamoto,22.8,14.6,18.7,0
2025/04/29,sapporo,12.7,4.9,8.8,0
2025/04/30,tokyo,21.8,13.3,17.6,0
2025/04/30,osaka,21.2,12.6,16.9,0
2025/04/30,kobe,21.3,12.3,16.8,0
2025/04/30,nagasaki,22.9,13.7,18.3,0
2025/04/30,kumamoto,21.8,14,17.9,0
2025/04/30,sapporo,14.7,6.8,10.8,0
2025/05/01,tokyo,21.9,12.5,17.2,0
2025/05/01,osaka,21.3,11.9,16.6,0
2025/05/01,kobe,21.8,12.7,17.3,0
2025/05/01,nagasaki,23.3,14.7,19,0
2025/05/01,kumamoto,22.2,13.1,17.6,0
2025/05/01,sapporo,15.1,5.8,10.4,0
2025/05/02,tokyo,22.5,14.1,18.3,0
2025/05/02,osaka,21.9,13.5,17.7,0
2025/05/02,kobe,20.9,13.4,17.1,0
2025/05/02,nagasaki,22.4,13.1,17.8,0
2025/05/02,kumamoto,21.3,13.5,17.4,0
2025/05/02,sapporo,13.7,5.7,9.7,0
2025/05/03,tokyo,20.6,11.2,15.9,0
2025/05/03,osaka,22.5,13.1,17.8,0
2025/05/03,kobe,22.4,14.5,18.4,0
2025/05/03,nagasaki,24,15.9,19.9,0
2025/05/03,kumamoto,23.6,15.1,19.4,0
2025/05/03,sapporo,14,5.2,9.6,0
2025/05/04,tokyo,21.2,12.8,17,0
2025/05/04,osaka,23.2,14.8,19,0
2025/05/04,kobe,21.4,13,17.2,0
2025/05/04,nagasaki,23.8,15.1,19.4,0
2025/05/04,kumamoto,22.7,13.5,18.1,0
2025/05/04,sapporo,15.1,5.6,10.3,0
2025/05/05,tokyo,21.8,12.4,17.1,0
2025/05/05,osaka,23.8,14.3,19.1,0
2025/05/05,kobe,23,14.2,18.6,0
2025/05/05,nagasaki,22.9,13.4,18.1,0
2025/05/05,kumamoto,24.2,16.2,20.2,0
2025/05/05,sapporo,15.4,7.2,11.3,0
2025/05/06,tokyo,22.4,13.9,18.1,0
2025/05/06,osaka,21.9,13.4,17.6,0
2025/05/06,kobe,22,12.8,17.4,0
2025/05/06,nagasaki,22.7,14.6,18.6,0
2025/05/06,kumamoto,24,15.4,19.7,0
2025/05/06,sapporo,16.5,7.6,12.1,0
2025/05/07,tokyo,23,13.5,18.3,0
2025/05/07,osaka,22.5,15,18.8,0
2025/05/07,kobe,23.6,16,19.8,0
2025/05/07,nagasaki,24.3,15.4,19.9,0
2025/05/07,kumamoto,23.1,13.7,18.4,0
2025/05/07,sapporo,15.1,7.5,11.3,0
2025/05/08,tokyo,23.6,15.1,19.4,0
2025/05/08,osaka,23.1,14.6,18.9,0
2025/05/08,kobe,22.6,14.6,18.6,0
2025/05/08,nagasaki,24.1,16.6,20.4,0
2025/05/08,kumamoto,22.9,14.9,18.9,0
2025/05/08,sapporo,15.4,7,11.2,0
2025/05/09,tokyo,21.8,14.3,18.1,0
2025/05/09,osaka,23.7,16.2,19.9,0
2025/05/09,kobe,24.1,15.6,19.9,0
2025/05/09,nagasaki,23.1,14.8,19,0
2025/05/09,kumamoto,24.5,15.7,20.1,0
2025/05/09,sapporo,16.5,7.4,11.9,0
2025/05/10,tokyo,22.8,14.8,18.8,0
2025/05/10,osaka,24.7,16.7,20.7,0
2025/05/10,kobe,23,15.3,19.1,0
2025/05/10,nagasaki,24.6,16.8,20.7,0
2025/05/10,kumamoto,23.4,15.1,19.3,0
2025/05/10,sapporo,15.9,6.7,11.3,0
2025/05/11,tokyo,23.4,14.4,18.9,0
2025/05/11,osaka,25.3,16.3,20.8,0
2025/05/11,kobe,24.5,16.4,20.4,0
2025/05/11,nagasaki,24.4,15.9,20.1,0
2025/05/11,kumamoto,25.7,16.7,21.2,0
2025/05/11,sapporo,17,9.1,13.1,0
2025/05/12,tokyo,24,16,20,0
2025/05/12,osaka,23.4,15.4,19.4,0
2025/05/12,kobe,23.6,15.1,19.4,0
2025/05/12,nagasaki,25.9,16.7,21.3,0
2025/05/12,kumamoto,24.8,17.1,21,0
2025/05/12,sapporo,17.3,8.6,12.9,0
2025/05/13,tokyo,24.6,15.6,20.1,0
2025/05/13,osaka,24,15,19.5,0
2025/05/13,kobe,25.1,16.1,20.6,0
2025/05/13,nagasaki,25.7,17.8,21.8,0
2025/05/13,kumamoto,24.6,16.2,20.4,0
2025/05/13,sapporo,15.9,6.5,11.2,0
2025/05/14,tokyo,25.2,17.2,21.2,0
2025/05/14,osaka,24.6,16.5,20.6,0
2025/05/14,kobe,24.1,14.7,19.4,0
2025/05/14,nagasaki,24.8,16.2,20.5,0
2025/05/14,kumamoto,26.2,17.1,21.6,0
2025/05/14,sapporo,16.2,8,12.1,0
2025/05/15,tokyo,23.3,14.2,18.8,0
2025/05/15,osaka,25.2,16.1,20.6,0
2025/05/15,kobe,25.6,17.8,21.7,0
2025/05/15,nagasaki,26.4,17,21.7,0
2025/05/15,kumamoto,25.2,17.3,21.3,0
2025/05/15,sapporo,17.3,8.4,12.9,0
2025/05/16,tokyo,23.9,15.8,19.9,0
2025/05/16,osaka,25.8,17.7,21.8,0
2025/05/16,kobe,24.6,16.4,20.5,0
2025/05/16,nagasaki,26.2,18.2,22.2,0
2025/05/16,kumamoto,25,16.5,20.8,0
2025/05/16,sapporo,18.3,10.7,14.5,0
2025/05/17,tokyo,24.5,15.4,19.9,0
2025/05/17,osaka,26.4,17.3,21.9,0
2025/05/17,kobe,26.2,17.6,21.9,0
2025/05/17,nagasaki,25.2,16.4,20.8,0
2025/05/17,kumamoto,26.6,17.3,22,0
2025/05/17,sapporo,18.6,10.2,14.4,0
2025/05/18,tokyo,25.1,17,21.1,0
2025/05/18,osaka,24.5,16.4,20.4,0
2025/05/18,kobe,25.2,16.1,20.6,0
2025/05/18,nagasaki,27.5,18.1,22.8,0
2025/05/18,kumamoto,26.4,18.5,22.4,0
2025/05/18,sapporo,17.2,8.1,12.6,0
2025/05/19,tokyo,25.7,16.6,21.1,0
2025/05/19,osaka,25.1,15.9,20.5,0
2025/05/19,kobe,26.7,17.2,21.9,0
2025/05/19,nagasaki,26.6,18.4,22.5,0
2025/05/19,kumamoto,25.4,16.7,21,0
2025/05/19,sapporo,17.5,9.6,13.6,0
2025/05/20,tokyo,24.2,16.6,20.4,0
2025/05/20,osaka,26.1,18.5,22.3,0
2025/05/20,kobe,25.6,16.9,21.3,0
2025/05/20,nagasaki,25.5,17.8,21.6,0
2025/05/20,kumamoto,26.9,18.7,22.8,0
2025/05/20,sapporo,19.5,11.5,15.5,0
2025/05/21,tokyo,24.8,16.2,20.5,0
2025/05/21,osaka,26.7,18.1,22.4,0
2025/05/21,kobe,27.1,18,22.6,0
2025/05/21,nagasaki,27.8,19.4,23.6,0
2025/05/21,kumamoto,26.6,17.7,22.1,0
2025/05/21,sapporo,18,9.3,13.7,0
2025/05/22,tokyo,25.3,17.7,21.5,0
2025/05/22,osaka,27.3,19.7,23.5,0
2025/05/22,kobe,26.1,18.5,22.3,0
2025/05/22,nagasaki,26.8,17.7,22.3,0
2025/05/22,kumamoto,25.7,18.1,21.9,0
2025/05/22,sapporo,19.1,9.7,14.4,0
2025/05/23,tokyo,25.9,17.3,21.6,0
2025/05/23,osaka,27.9,19.2,23.5,0
2025/05/23,kobe,27.6,19.6,23.6,0
2025/05/23,nagasaki,26.6,18.8,22.7,0
2025/05/23,kumamoto,28,19.7,23.9,0
2025/05/23,sapporo,19.4,11.2,15.3,0
2025/05/24,tokyo,26.5,18.8,22.6,0
2025/05/24,osaka,26,18.3,22.1,0
2025/05/24,kobe,26.6,18.2,22.4,0
2025/05/24,nagasaki,28.2,19.7,23.9,0
2025/05/24,kumamoto,27,18,22.5,0
2025/05/24,sapporo,20.4,11.5,15.9,0
2025/05/25,tokyo,27.1,18.4,22.8,0
2025/05/25,osaka,26.5,17.8,22.1,0
2025/05/25,kobe,28.1,19.3,23.7,0
2025/05/25,nagasaki,27.2,17.9,22.5,0
2025/05/25,kumamoto,28.6,20.8,24.7,0
2025/05/25,sapporo,18.2,10.6,14.4,0
2025/05/26,tokyo,27.7,20,23.9,0
2025/05/26,osaka,27.1,19.4,23.3,0
2025/05/26,kobe,27.1,17.9,22.5,0
2025/05/26,nagasaki,27,19.1,23.1,0
2025/05/26,kumamoto,28.3,19.9,24.1,0
2025/05/26,sapporo,19.2,10.9,15.1,0
2025/05/27,tokyo,25.7,17,21.4,0
2025/05/27,osaka,27.7,19,23.4,0
2025/05/27,kobe,26.1,18.4,22.3,0
2025/05/27,nagasaki,28.5,19.8,24.1,0
2025/05/27,kumamoto,27.4,18.2,22.8,0
2025/05/27,sapporo,20.3,11.3,15.8,0
2025/05/28,tokyo,26.3,18.6,22.5,0
2025/05/28,osaka,28.3,20.5,24.4,0
2025/05/28,kobe,27.6,19.5,23.6,0
2025/05/28,nagasaki,28.3,19,23.6,0
2025/05/28,kumamoto,27.2,19.4,23.3,0
2025/05/28,sapporo,20.6,12.8,16.7,0
2025/05/29,tokyo,26.9,18.1,22.5,0
2025/05/29,osaka,28.8,20,24.4,0
2025/05/29,kobe,26.6,18.1,22.4,0
2025/05/29,nagasaki,27.3,19.2,23.3,0
2025/05/29,kumamoto,28.7,20.1,24.4,0
2025/05/29,sapporo,19.1,10.6,14.9,0
2025/05/30,tokyo,27.9,18.7,23.3,0
2025/05/30,osaka,27.3,18.1,22.7,0
2025/05/30,kobe,27.9,20.2,24,0
2025/05/30,nagasaki,28.7,21.1,24.9,0
2025/05/30,kumamoto,27.6,19.5,23.6,0
2025/05/30,sapporo,21,12.4,16.7,0
2025/05/31,tokyo,28.4,20.2,24.3,0
2025/05/31,osaka,27.9,19.7,23.8,0
2025/05/31,kobe,26.9,18.7,22.8,0
2025/05/31,nagasaki,28.5,20.2,24.4,0
2025/05/31,kumamoto,29.8,21,25.4,0
2025/05/31,sapporo,21.3,11.9,16.6,0
2025/06/01,tokyo,28.1,20.1,24.1,0
2025/06/01,osaka,27.5,19.5,23.5,0
2025/06/01,kobe,29.3,21.5,25.4,0
2025/06/01,nagasaki,29.2,20.2,24.7,0
2025/06/01,kumamoto,28.1,18.6,23.4,0
2025/06/01,sapporo,21.6,13.6,17.6,0
2025/06/02,tokyo,28.6,19.6,24.1,0
2025/06/02,osaka,28.1,19,23.6,0
2025/06/02,kobe,28.3,20.1,24.2,0
2025/06/02,nagasaki,28.3,20.6,24.5,0
2025/06/02,kumamoto,29.6,21.4,25.5,0
2025/06/02,sapporo,21.9,13.1,17.5,0
2025/06/03,tokyo,29.2,21.1,25.1,0
2025/06/03,osaka,28.6,20.5,24.6,0
2025/06/03,kobe,29.8,21.2,25.5,0
2025/06/03,nagasaki,29.8,21.4,25.6,0
2025/06/03,kumamoto,28.7,19.7,24.2,0
2025/06/03,sapporo,20.4,12.9,16.6,0
2025/06/04,tokyo,27.2,18.1,22.6,0
2025/06/04,osaka,29.2,20.1,24.6,0
2025/06/04,kobe,28.7,19.6,24.1,0
2025/06/04,nagasaki,29.5,20.4,24.9,0
2025/06/04,kumamoto,28.4,20.8,24.6,0
2025/06/04,sapporo,20.6,12.3,16.5,0
2025/06/05,tokyo,27.8,19.7,23.8,0
2025/06/05,osaka,29.7,21.6,25.6,0
2025/06/05,kobe,30.2,20.7,25.4,0
2025/06/05,nagasaki,28.6,20.8,24.7,0
2025/06/05,kumamoto,29.9,21.5,25.7,0
2025/06/05,sapporo,21.6,12.6,17.1,0
2025/06/06,tokyo,28.3,19.2,23.8,0
2025/06/06,osaka,30.3,21.2,25.8,0
2025/06/06,kobe,29.2,21.3,25.3,0
2025/06/06,nagasaki,30.8,22.3,26.6,0.6
2025/06/06,kumamoto,29.7,20.7,25.2,0
2025/06/06,sapporo,22.7,15,18.9,0
2025/06/07,tokyo,28.9,20.8,24.9,0
2025/06/07,osaka,28.3,20.1,24.2,0
2025/06/07,kobe,28.1,19.8,24,0
2025/06/07,nagasaki,29.8,20.6,25.2,0
2025/06/07,kumamoto,28.7,20.9,24.8,0
2025/06/07,sapporo,22.9,14.4,18.6,0
2025/06/08,tokyo,29.4,20.2,24.8,0
2025/06/08,osaka,28.9,19.7,24.3,0
2025/06/08,kobe,29.6,20.9,25.3,0
2025/06/08,nagasaki,29.6,21.7,25.6,0
2025/06/08,kumamoto,30.9,22.5,26.7,0.7
2025/06/08,sapporo,21.4,12.2,16.8,0
2025/06/09,tokyo,30,21.8,25.9,0
2025/06/09,osaka,29.4,21.2,25.3,0
2025/06/09,kobe,28.6,19.4,24,0
2025/06/09,nagasaki,31.1,22.5,26.8,0.8
2025/06/09,kumamoto,29.9,20.7,25.3,0
2025/06/09,sapporo,21.7,13.8,17.8,0
2025/06/10,tokyo,30.2,21.5,25.9,0
2025/06/10,osaka,29.6,20.9,25.3,0
2025/06/10,kobe,29.9,21.5,25.7,0
2025/06/10,nagasaki,29.9,21.7,25.8,0
2025/06/10,kumamoto,31.3,22.6,27,1
2025/06/10,sapporo,21.1,13,17.1,0
2025/06/11,tokyo,28.2,20.5,24.4,0
2025/06/11,osaka,30.2,22.5,26.4,0.4
2025/06/11,kobe,28.8,20,24.4,0
2025/06/11,nagasaki,29.6,20.7,25.1,0
2025/06/11,kumamoto,31,21.6,26.3,0.3
2025/06/11,sapporo,22.1,13.3,17.7,0
2025/06/12,tokyo,28.7,20,24.4,0
2025/06/12,osaka,30.7,21.9,26.3,0.3
2025/06/12,kobe,30.3,21.1,25.7,0
2025/06/12,nagasaki,31.1,23.5,27.3,1.3
2025/06/12,kumamoto,30,21.9,25.9,0
2025/06/12,sapporo,23.1,13.6,18.4,0
2025/06/13,tokyo,29.3,21.5,25.4,0
2025/06/13,osaka,31.2,23.4,27.3,1.3
2025/06/13,kobe,29.2,21.5,25.4,0
2025/06/13,nagasaki,30.1,21.8,26,0
2025/06/13,kumamoto,29.7,20.9,25.3,0
2025/06/13,sapporo,23.3,15.1,19.2,0
2025/06/14,tokyo,29.8,21,25.4,0
2025/06/14,osaka,31.7,22.9,27.3,1.3
2025/06/14,kobe,30.7,22.6,26.6,0.6
2025/06/14,nagasaki,32.3,23.3,27.8,1.8
2025/06/14,kumamoto,31.2,23.7,27.4,1.4
2025/06/14,sapporo,21.8,12.9,17.4,0
2025/06/15,tokyo,30.3,22.5,26.4,0.4
2025/06/15,osaka,29.7,21.9,25.8,0
2025/06/15,kobe,29.6,21.1,25.4,0
2025/06/15,nagasaki,31.3,23.6,27.5,1.5
2025/06/15,kumamoto,30.2,21.9,26,0
2025/06/15,sapporo,22,14.3,18.1,0
2025/06/16,tokyo,30.8,22,26.4,0.4
2025/06/16,osaka,30.3,21.5,25.9,0
2025/06/16,kobe,31.1,22.2,26.6,0.6
2025/06/16,nagasaki,31,22.6,26.8,0.8
2025/06/16,kumamoto,32.4,23.5,27.9,1.9
2025/06/16,sapporo,23,14.6,18.8,0
2025/06/17,tokyo,31.3,23.5,27.4,1.4
2025/06/17,osaka,30.8,22.9,26.9,0.9
2025/06/17,kobe,30,20.7,25.4,0
2025/06/17,nagasaki,32.5,23.4,27.9,1.9
2025/06/17,kumamoto,31.4,23.7,27.5,1.5
2025/06/17,sapporo,24,14.9,19.4,0
2025/06/18,tokyo,29.3,20.4,24.9,0
2025/06/18,osaka,31.3,22.4,26.9,0.9
2025/06/18,kobe,31.4,23.6,27.5,1.5
2025/06/18,nagasaki,32.2,24.4,28.3,2.3
2025/06/18,kumamoto,31.1,22.8,27,1
2025/06/18,sapporo,24.2,16.3,20.3,0
2025/06/19,tokyo,29.8,21.9,25.9,0
2025/06/19,osaka,31.8,23.9,27.9,1.9
2025/06/19,kobe,30.4,22.2,26.3,0.3
2025/06/19,nagasaki,31.2,22.7,26.9,0.9
2025/06/19,kumamoto,32.6,23.5,28.1,2.1
2025/06/19,sapporo,22.7,14.1,18.4,0
2025/06/20,tokyo,30.7,22.4,26.5,0.5
2025/06/20,osaka,30.2,21.9,26,0
2025/06/20,kobe,31.6,22.2,26.9,0.9
2025/06/20,nagasaki,32.5,24.4,28.4,2.4
2025/06/20,kumamoto,31.4,22.8,27.1,1.1
2025/06/20,sapporo,24.5,15.8,20.1,0
2025/06/21,tokyo,31.2,21.9,26.5,0.5
2025/06/21,osaka,30.7,21.3,26,0
2025/06/21,kobe,30.6,22.8,26.7,0.7
2025/06/21,nagasaki,32.2,23.4,27.8,1.8
2025/06/21,kumamoto,31.1,21.8,26.5,0.5
2025/06/21,sapporo,24.8,17.3,21.1,0
2025/06/22,tokyo,31.7,23.3,27.5,1.5
2025/06/22,osaka,31.2,22.8,27,1
2025/06/22,kobe,32,23.7,27.9,1.9
2025/06/22,nagasaki,31.2,23.7,27.4,1.4
2025/06/22,kumamoto,32.5,24.5,28.5,2.5
2025/06/22,sapporo,23.2,15,19.1,0
2025/06/23,tokyo,32.2,22.8,27.5,1.5
2025/06/23,osaka,31.7,22.3,27,1
2025/06/23,kobe,30.9,22.2,26.5,0.5
2025/06/23,nagasaki,33.4,25.2,29.3,3.3
2025/06/23,kumamoto,32.2,23.5,27.9,1.9
2025/06/23,sapporo,24.2,15.3,19.8,0
2025/06/24,tokyo,30.2,21.8,26,0
2025/06/24,osaka,32.2,23.8,28,2
2025/06/24,kobe,32.3,23.2,27.8,1.8
2025/06/24,nagasaki,32.3,23.4,27.8,1.8
2025/06/24,kumamoto,31.2,21.8,26.5,0.5
2025/06/24,sapporo,24.4,16.7,20.5,0
2025/06/25,tokyo,30.7,21.3,26,0
2025/06/25,osaka,32.6,23.2,27.9,1.9
2025/06/25,kobe,31.2,23.7,27.4,1.4
2025/06/25,nagasaki,31.3,23.7,27.5,1.5
2025/06/25,kumamoto,32.6,24.4,28.5,2.5
2025/06/25,sapporo,25.3,16.9,21.1,0
2025/06/26,tokyo,31.2,22.8,27,1
2025/06/26,osaka,33.1,24.6,28.9,2.9
2025/06/26,kobe,32.6,24.7,28.6,2.6
2025/06/26,nagasaki,33.4,25.1,29.3,3.3
2025/06/26,kumamoto,32.3,23.5,27.9,1.9
2025/06/26,sapporo,25.5,16.3,20.9,0
2025/06/27,tokyo,31.6,22.1,26.9,0.9
2025/06/27,osaka,31.1,21.6,26.4,0.4
2025/06/27,kobe,31.5,23.1,27.3,1.3
2025/06/27,nagasaki,32.4,23.4,27.9,1.9
2025/06/27,kumamoto,31.3,23.7,27.5,1.5
2025/06/27,sapporo,23.9,16,19.9,0
2025/06/28,tokyo,32.1,23.6,27.9,1.9
2025/06/28,osaka,31.6,23.1,27.4,1.4
2025/06/28,kobe,32.9,24.1,28.5,2.5
2025/06/28,nagasaki,32.1,24.4,28.3,2.3
2025/06/28,kumamoto,33.4,25.2,29.3,3.3
2025/06/28,sapporo,24.9,16.3,20.6,0
2025/06/29,tokyo,32.6,25.1,28.9,2.9
2025/06/29,osaka,32,24.5,28.3,2.3
2025/06/29,kobe,31.8,22.6,27.2,1.2
2025/06/29,nagasaki,33.5,25.1,29.3,3.3
2025/06/29,kumamoto,32.4,23.4,27.9,1.9
2025/06/29,sapporo,25.1,15.8,20.5,0
