date,area,avg_price,baseload_price,peak_price,daytime_price,night_price,solar_crush_price,max_price,min_price
2025/04/04,shikoku,10.13,10.13,4.46,5.92,12.74,3.45,16.32,0.01
2025/04/04,system,11.62,11.62,6.79,8.4,13.65,5.73,16.04,0.1
2025/04/04,tohoku,13.19,13.19,9.77,11.2,14.7,8.63,17.17,6.55
2025/04/04,tokyo,14.07,14.07,12.23,12.93,14.82,11.74,17.17,10.39
2025/04/05,chubu,10.03,10.03,7.52,8.31,11.21,6.69,13.1,3.61
2025/04/05,chugoku,10.01,10.01,7.43,8.25,11.21,6.69,13.1,3.61
2025/04/05,hokkaido,10.62,10.62,5,6.74,13.6,4.48,16.57,0.02
2025/04/05,hokuriku,10.01,10.01,7.43,8.25,11.21,6.69,13.1,3.61
2025/04/05,kansai,10.01,10.01,7.43,8.25,11.21,6.69,13.1,3.61
2025/04/05,kyushu,9.82,9.82,6.9,7.8,11.21,6.52,13.1,3.61
2025/04/05,shikoku,9.86,9.86,7.43,7.9,11.21,6.69,13.1,3.61
2025/04/05,system,10.43,10.43,6.76,7.85,12.41,6.13,13.38,3
2025/04/05,tohoku,9.79,9.79,2.14,4.73,13.6,1.24,16.57,0.01
2025/04/05,tokyo,11.79,11.79,8.07,9.17,13.6,7.46,16.57,7
2025/04/06,chubu,9.04,9.04,5.82,6.58,10.52,5.92,12.46,5.56
2025/04/06,chugoku,7.38,7.38,3.39,3.53,9.54,3.64,12.46,0.01
2025/04/06,hokkaido,11.71,11.71,8.49,9.59,13.61,8.37,16.47,5.56
2025/04/06,hokuriku,7.38,7.38,3.39,3.53,9.54,3.64,12.46,0.01
2025/04/06,kansai,7.38,7.38,3.39,3.53,9.54,3.64,12.46,0.01
2025/04/06,kyushu,6.35,6.35,0.01,1.07,9.54,0.01,12.46,0.01
2025/04/06,shikoku,6.57,6.57,0.8,1.61,9.54,0.01,12.46,0.01
2025/04/06,system,9,9,3.35,4.97,11.95,2.89,12.93,0.1
2025/04/06,tohoku,11.62,11.62,8.31,9.4,13.61,8.11,16.47,5.56
2025/04/06,tokyo,11.81,11.81,8.89,9.81,13.61,8.92,16.47,5.56
2025/04/07,chubu,9.4,9.4,4.96,6.17,11.19,4.62,16,0.99
2025/04/07,chugoku,9.4,9.4,4.96,6.17,11.19,4.62,16,0.99
2025/04/07,hokkaido,10.95,10.95,7.27,8.91,12.14,6.8,16.31,3
2025/04/07,hokuriku,9.4,9.4,4.96,6.17,11.19,4.62,16,0.99
2025/04/07,kansai,9.4,9.4,4.96,6.17,11.19,4.62,16,0.99
2025/04/07,kyushu,7.91,7.91,0.01,2.58,11.19,0.01,16,0.01
2025/04/07,shikoku,8.42,8.42,1.9,3.81,11.19,0.36,16,0.01
2025/04/07,system,9.65,9.65,3.91,5.88,12.02,2.48,15.67,0.01
2025/04/07,tohoku,10.58,10.58,6.07,8.07,12.14,5.13,16.31,0.01
2025/04/07,tokyo,12.25,12.25,10.24,11.38,12.51,9.47,16.31,7.26
2025/04/08,chubu,9.6,9.6,6.18,7.17,11.18,5.74,13.62,1
2025/04/08,chugoku,9.55,9.55,6.18,7.17,11.04,5.74,13.62,1
2025/04/08,hokkaido,11.23,11.23,8.35,9.34,12.29,7.69,15,6.17
2025/04/08,hokuriku,9.6,9.6,6.18,7.17,11.18,5.74,13.62,1
2025/04/08,kansai,9.55,9.55,6.18,7.17,11.04,5.74,13.62,1
2025/04/08,kyushu,7.65,7.65,0.08,2.62,11.04,0.01,13.62,0.01
2025/04/08,shikoku,8.93,8.93,4.52,5.7,11.04,3.41,13.62,0.01
2025/04/08,system,9.95,9.95,5.08,6.81,12.05,3.84,14.18,1
2025/04/08,tohoku,11.25,11.25,8.37,9.38,12.29,7.72,15,6.17
2025/04/08,tokyo,12.11,12.11,9.28,10.44,12.72,8.29,15,7.31
2025/04/09,chubu,9.73,9.73,5.32,6.39,11.84,5.29,14.64,1
2025/04/09,chugoku,9.44,9.44,5.32,6.39,11.04,5.29,14.64,1
2025/04/09,hokkaido,10.56,10.56,5.36,7.44,12.7,4.33,14.64,0.01
2025/04/09,hokuriku,9.73,9.73,5.32,6.39,11.84,5.29,14.64,1
2025/04/09,kansai,9.44,9.44,5.32,6.39,11.04,5.29,14.64,1
2025/04/09,kyushu,7.73,7.73,0.01,2.29,11.04,0.01,14.64,0.01
2025/04/09,shikoku,8.81,8.81,3.55,4.97,11.04,2.81,14.64,0.01
2025/04/09,system,9.92,9.92,4.25,6.23,12.28,3.14,14.64,0.01
2025/04/09,tohoku,10.46,10.46,5,7.19,12.7,3.83,14.64,0.01
2025/04/09,tokyo,12.12,12.12,9.64,10.62,13.05,9.2,14.64,7.92
2025/04/10,chubu,12.12,12.12,12.67,12.69,11.2,12.6,15,8.21
2025/04/10,chugoku,12.09,12.09,12.67,12.69,11.17,12.6,15,8.21
2025/04/10,hokkaido,11.13,11.13,7.93,9.55,12.22,7.35,17,6.75
2025/04/10,hokuriku,12.12,12.12,12.67,12.69,11.2,12.6,15,8.21
2025/04/10,kansai,12.09,12.09,12.67,12.69,11.17,12.6,15,8.21
2025/04/10,kyushu,12.09,12.09,12.67,12.69,11.17,12.6,15,8.21
2025/04/10,shikoku,12.07,12.07,12.58,12.63,11.17,12.48,15,8.21
2025/04/10,system,12.72,12.72,12.31,12.75,12.26,12.02,15.32,10.71
2025/04/10,tohoku,12.11,12.11,9.44,10.96,12.8,8.53,17,6.75
2025/04/10,tokyo,13.41,13.41,12.83,13.37,13.05,12.67,17,12.07
2025/04/11,chubu,10.33,10.33,6.06,7.13,12.64,6.05,15,4.25
2025/04/11,chugoku,9.69,9.69,5.65,6.77,11.41,5.65,15,3.07
2025/04/11,hokkaido,11.79,11.79,8.73,9.97,12.69,8.13,15.67,6.81
2025/04/11,hokuriku,10.33,10.33,6.06,7.13,12.64,6.05,15,4.25
2025/04/11,kansai,9.69,9.69,5.65,6.77,11.41,5.65,15,3.07
2025/04/11,kyushu,8.13,8.13,0.55,3.07,11.41,0.01,15,0.01
2025/04/11,shikoku,9.22,9.22,4.42,5.65,11.41,3.94,15,0.01
2025/04/11,system,10.5,10.5,6.04,7.62,12.26,5.1,15.05,3
2025/04/11,tohoku,11.87,11.87,8.76,10.16,12.69,8.13,15.67,6.81
2025/04/11,tokyo,12.88,12.88,12.07,12.48,12.73,11.9,15.67,10.68
2025/04/12,chubu,8.12,8.12,1.93,3.91,11.2,0.49,12.87,0.01
2025/04/12,chugoku,8.07,8.07,1.93,3.91,11.07,0.49,12.87,0.01
2025/04/12,hokkaido,9.07,9.07,2.47,4.82,11.64,0.74,17,0.01
2025/04/12,hokuriku,8.12,8.12,1.93,3.91,11.2,0.49,12.87,0.01
2025/04/12,kansai,8.07,8.07,1.93,3.91,11.07,0.49,12.87,0.01
2025/04/12,kyushu,8.07,8.07,1.93,3.91,11.07,0.49,12.87,0.01
2025/04/12,shikoku,8.07,8.07,1.93,3.91,11.07,0.49,12.87,0.01
2025/04/12,system,8.51,8.51,1.97,4.22,11.54,0.52,13.38,0.01
2025/04/12,tohoku,9.22,9.22,2.43,4.81,11.94,0.91,17,0.01
2025/04/12,tokyo,9.31,9.31,2.69,5,11.96,0.91,17,0.01
2025/04/13,chubu,11.41,11.41,11.98,11.77,10.77,12.16,13.38,7.92
2025/04/13,chugoku,10.05,10.05,9.41,9.4,9.76,9.99,12.42,3.93
2025/04/13,hokkaido,9.57,9.57,8.24,8.9,10.24,8.33,13.5,6.89
2025/04/13,hokuriku,11.41,11.41,11.98,11.77,10.77,12.16,13.38,7.92
2025/04/13,kansai,10.05,10.05,9.41,9.4,9.76,9.99,12.42,3.93
2025/04/13,kyushu,6.64,6.64,0.01,1.7,9.62,0.01,12.42,0.01
2025/04/13,shikoku,9.99,9.99,9.2,9.25,9.76,9.69,12.42,3.93
2025/04/13,system,10.08,10.08,7.77,8.5,10.96,7.56,12.41,6.11
2025/04/13,tohoku,11.31,11.31,11.9,12.05,10.59,11.97,13.5,6.89
2025/04/13,tokyo,11.87,11.87,12.16,12.24,11.43,12.34,13.5,11
2025/04/14,chubu,9.82,9.82,6.29,7.31,11.12,6.05,15.04,2.86
2025/04/14,chugoku,9.56,9.56,6.29,7.31,10.43,6.05,15.04,2.86
2025/04/14,hokkaido,10.59,10.59,9.18,10.05,9.92,8.32,15.04,5
2025/04/14,hokuriku,9.8,9.8,6.29,7.31,11.07,6.05,15.04,2.86
2025/04/14,kansai,9.56,9.56,6.29,7.31,10.43,6.05,15.04,2.86
2025/04/14,kyushu,9.56,9.56,6.26,7.29,10.43,6.01,15.04,2.86
2025/04/14,shikoku,9.53,9.53,6.16,7.22,10.43,5.87,15.04,2.86
2025/04/14,system,10.13,10.13,6.96,8.11,10.96,6.26,15.04,3
2025/04/14,tohoku,10.7,10.7,9.13,10.02,10.15,8.25,15.04,5
2025/04/14,tokyo,11.2,11.2,9.13,10.02,11.34,8.25,15.04,5
2025/04/15,chubu,11.66,11.66,9.9,10.62,11.39,9.51,17.58,6.9
2025/04/15,chugoku,11.66,11.66,9.9,10.62,11.39,9.51,17.58,6.9
2025/04/15,hokkaido,10.86,10.86,8.58,9.57,11.22,8.04,15.24,6.87
2025/04/15,hokuriku,11.66,11.66,9.9,10.62,11.39,9.51,17.58,6.9
2025/04/15,kansai,11.66,11.66,9.9,10.62,11.39,9.51,17.58,6.9
2025/04/15,kyushu,9.03,9.03,2.04,4.42,11.39,0.62,17.58,0.01
2025/04/15,shikoku,11.07,11.07,8.81,9.32,11.39,7.98,17.58,6.9
2025/04/15,system,11.1,11.1,8.21,9.31,11.48,7.48,16.33,5.01
2025/04/15,tohoku,11.29,11.29,9.87,10.59,11.23,9.21,15.24,6.87
2025/04/15,tokyo,11.73,11.73,10.24,10.85,11.61,9.68,15.24,6.9
2025/04/16,chubu,9.57,9.57,4.14,5.82,12.04,3.09,13.69,0.29
2025/04/16,chugoku,9.56,9.56,4.14,5.82,12.02,3.09,13.69,0.29
2025/04/16,hokkaido,7,7,2.43,4.49,7.99,1.11,13.69,0.01
2025/04/16,hokuriku,9.56,9.56,4.14,5.82,12.02,3.09,13.69,0.29
2025/04/16,kansai,9.56,9.56,4.14,5.82,12.02,3.09,13.69,0.29
2025/04/16,kyushu,8.27,8.27,0.43,2.71,12.02,0.01,13.69,0.01
2025/04/16,shikoku,9.27,9.27,3.54,5.13,12.02,2.25,13.69,0.01
2025/04/16,system,8.64,8.64,1.6,4.11,11.59,0.12,13.6,0.01
2025/04/16,tohoku,6.8,6.8,1.94,4.07,8.02,0.71,13.69,0.01
2025/04/16,tokyo,10.65,10.65,6.84,8.18,12.07,5.64,13.69,3
2025/04/17,chubu,7.9,7.9,0.7,2.79,11.83,0.18,13.22,0.01
2025/04/17,chugoku,7.5,7.5,0.7,2.79,10.78,0.18,12.41,0.01
2025/04/17,hokkaido,6.27,6.27,0.71,2.64,8.46,0.01,12.81,0.01
2025/04/17,hokuriku,7.5,7.5,0.7,2.79,10.78,0.18,12.41,0.01
2025/04/17,kansai,7.5,7.5,0.7,2.79,10.78,0.18,12.41,0.01
2025/04/17,kyushu,7.47,7.47,0.58,2.71,10.78,0.01,12.41,0.01
2025/04/17,shikoku,7.46,7.46,0.7,2.68,10.78,0.18,12.41,0.01
2025/04/17,system,7.62,7.62,0.59,2.84,11.14,0.02,12.41,0.01
2025/04/17,tohoku,6.36,6.36,0.71,2.86,8.46,0.01,12.81,0.01
2025/04/17,tokyo,8.35,8.35,1.05,3.5,11.86,0.18,13.22,0.01
2025/04/18,chubu,9.67,9.67,6.95,7.64,11.3,6.69,12.63,2.97
2025/04/18,chugoku,9.04,9.04,6.95,7.64,9.61,6.69,12.53,2.97
2025/04/18,hokkaido,10.01,10.01,7.52,8.84,10.92,7.15,15,6.44
2025/04/18,hokuriku,9.04,9.04,6.95,7.64,9.61,6.69,12.53,2.97
2025/04/18,kansai,9.04,9.04,6.95,7.64,9.61,6.69,12.53,2.97
2025/04/18,kyushu,8.32,8.32,4.71,5.93,9.61,3.83,12.53,0.01
2025/04/18,shikoku,8.97,8.97,6.95,7.47,9.61,6.69,12.53,2.97
2025/04/18,system,9.75,9.75,6.95,7.91,11.02,6.59,12.53,3.1
2025/04/18,tohoku,10.2,10.2,7.99,9.16,10.94,7.47,15,6.44
2025/04/18,tokyo,11,11,9.31,10.14,11.51,8.68,15,7.32
2025/04/19,chubu,6.52,6.52,0.98,2.34,10.06,0.15,11.03,0.01
2025/04/19,chugoku,5.56,5.56,0.3,1.45,8.49,0.02,10.57,0.01
2025/04/19,hokkaido,6.83,6.83,0.22,2.05,9.89,0.01,14.21,0.01
2025/04/19,hokuriku,5.56,5.56,0.3,1.45,8.49,0.02,10.57,0.01
2025/04/19,kansai,5.56,5.56,0.3,1.45,8.49,0.02,10.57,0.01
2025/04/19,kyushu,5.45,5.45,0.01,1.2,8.49,0.01,10.57,0.01
2025/04/19,shikoku,5.49,5.49,0.22,1.3,8.49,0.01,10.57,0.01
2025/04/19,system,6.45,6.45,0.44,1.92,9.95,0.01,11.8,0.01
2025/04/19,tohoku,6.9,6.9,0.22,2.08,10.02,0.01,14.21,0.01
2025/04/19,tokyo,7.97,7.97,2.88,4.14,10.25,1.94,14.21,0.1
2025/04/20,chubu,8.93,8.93,7.48,8.07,9.14,7.23,11.89,5.4
2025/04/20,chugoku,7.75,7.75,6.35,6.76,7.64,6.08,10.97,5.1
2025/04/20,hokkaido,8.28,8.28,5.4,6.31,9.62,5.15,11.89,0.01
2025/04/20,hokuriku,7.75,7.75,6.35,6.76,7.64,6.08,10.97,5.1
2025/04/20,kansai,7.75,7.75,6.35,6.76,7.64,6.08,10.97,5.1
2025/04/20,kyushu,7.39,7.39,5.11,5.9,7.64,4.36,10.97,1
2025/04/20,shikoku,7.75,7.75,6.35,6.76,7.64,6.08,10.97,5.1
2025/04/20,system,8.38,8.38,6.68,7.21,8.72,6.53,10.97,5.42
2025/04/20,tohoku,8.29,8.29,4.56,5.86,9.86,3.99,11.89,0.01
2025/04/20,tokyo,9.24,9.24,7.48,8.07,9.9,7.23,11.89,5.4
2025/04/21,chubu,8.73,8.73,5.61,6.14,9.78,5.4,14.5,3
2025/04/21,chugoku,7.82,7.82,4.67,5.49,8.16,4.55,14.5,1
2025/04/21,hokkaido,7.71,7.71,0.72,3.11,10.17,0.01,14.5,0.01
2025/04/21,hokuriku,7.82,7.82,4.67,5.49,8.16,4.55,14.5,1
2025/04/21,kansai,7.82,7.82,4.67,5.49,8.16,4.55,14.5,1
2025/04/21,kyushu,6.72,6.72,0.9,2.85,8.16,0.01,14.5,0.01
2025/04/21,shikoku,7.29,7.29,3,4.21,8.16,2.2,14.5,0.01
2025/04/21,system,7.55,7.55,1.5,3.47,9.54,0.4,14.5,0.01
2025/04/21,tohoku,7.86,7.86,0.72,3.3,10.35,0.01,14.5,0.01
2025/04/21,tokyo,9.59,9.59,6.26,7.23,10.48,5.8,14.5,3
2025/04/22,chubu,10.25,10.25,8.33,9.41,10.43,7.59,14.42,6.1
2025/04/22,chugoku,9.84,9.84,8.33,9.41,9.35,7.59,14.42,6.1
2025/04/22,hokkaido,8.51,8.51,1.68,4.42,10.97,0.61,14.42,0.01
2025/04/22,hokuriku,9.84,9.84,8.33,9.41,9.35,7.59,14.42,6.1
2025/04/22,kansai,9.84,9.84,8.33,9.41,9.35,7.59,14.42,6.1
2025/04/22,kyushu,9.84,9.84,8.33,9.41,9.35,7.59,14.42,6.1
2025/04/22,shikoku,9.84,9.84,8.33,9.41,9.35,7.59,14.42,6.1
2025/04/22,system,10.02,10.02,7.4,8.74,10.36,6.64,14.42,4.98
2025/04/22,tohoku,8.64,8.64,1.75,4.74,10.97,0.61,14.42,0.01
2025/04/22,tokyo,10.66,10.66,8.49,9.54,10.97,7.82,14.42,6.8
2025/04/23,chubu,12.91,12.91,15.03,15.01,10.38,14.61,20.3,9.82
2025/04/23,chugoku,12.51,12.51,14.71,14.79,9.64,14.23,20.3,7.72
2025/04/23,hokkaido,13.02,13.02,15.05,15.03,10.55,14.63,20.3,10.09
2025/04/23,hokuriku,12.63,12.63,15.03,15.01,9.65,14.61,20.3,7.72
2025/04/23,kansai,12.51,12.51,14.71,14.79,9.64,14.23,20.3,7.72
2025/04/23,kyushu,12.1,12.1,13.3,13.8,9.64,12.26,20.3,7.72
2025/04/23,shikoku,11.15,11.15,10.05,11.53,9.64,8.34,20.3,7.66
2025/04/23,system,12.86,12.86,14.74,14.89,10.38,14.19,20.3,9.82
2025/04/23,tohoku,13.03,13.03,15.05,15.03,10.55,14.63,20.3,10.09
2025/04/23,tokyo,13.03,13.03,15.05,15.03,10.55,14.63,20.3,10.09
2025/04/24,chubu,9.7,9.7,7.26,7.83,10.53,6.41,13,3
2025/04/24,chugoku,8.66,8.66,5.08,6,10.25,4.23,13,0.01
2025/04/24,hokkaido,8.95,8.95,6.9,7.6,9.72,6.81,13.22,6.53
2025/04/24,hokuriku,9.7,9.7,7.26,7.83,10.53,6.41,13,3
2025/04/24,kansai,8.66,8.66,5.08,6,10.25,4.23,13,0.01
2025/04/24,kyushu,7.27,7.27,0.44,2.66,10.25,0.01,13,0.01
2025/04/24,shikoku,8.25,8.25,3.75,5.01,10.25,2.56,13,0.01
2025/04/24,system,9.47,9.47,6.13,7.36,10.49,4.93,13.22,0.04
2025/04/24,tohoku,11.27,11.27,10.16,11.04,10.68,8.95,14.03,6.53
2025/04/24,tokyo,11.58,11.58,11.2,11.76,10.68,10.41,14.03,9.79
2025/04/25,chubu,10.37,10.37,8.38,8.98,11.07,7.54,13.32,6.69
2025/04/25,chugoku,9.62,9.62,7.15,8.11,10.14,6.03,13.32,1
2025/04/25,hokkaido,8.23,8.23,4.08,6.03,9.18,2.36,14.14,0.01
2025/04/25,hokuriku,9.66,9.66,7.28,8.21,10.14,6.22,13.32,1
2025/04/25,kansai,9.66,9.66,7.28,8.21,10.14,6.22,13.32,1
2025/04/25,kyushu,9.59,9.59,7.04,8.04,10.14,6.03,13.32,1
2025/04/25,shikoku,9.5,9.5,7.11,7.82,10.14,6.03,13.32,1
2025/04/25,system,10.12,10.12,7.94,8.74,10.56,7.29,13.67,3.93
2025/04/25,tohoku,9.43,9.43,4.29,6.47,11.06,2.66,14.14,0.01
2025/04/25,tokyo,11.63,11.63,11.7,11.67,11.07,11.41,14.21,10.25
2025/04/26,chubu,6.98,6.98,0.5,1.96,10.61,0.09,12,0.01
2025/04/26,chugoku,6.97,6.97,0.5,1.96,10.57,0.09,12,0.01
2025/04/26,hokkaido,5.24,5.24,0.01,1.05,8.51,0.01,11.69,0.01
2025/04/26,hokuriku,6.97,6.97,0.5,1.96,10.57,0.09,12,0.01
2025/04/26,kansai,6.97,6.97,0.5,1.96,10.57,0.09,12,0.01
2025/04/26,kyushu,6.76,6.76,0.01,1.44,10.57,0.01,12,0.01
2025/04/26,shikoku,6.83,6.83,0.01,1.62,10.57,0.01,12,0.01
2025/04/26,system,6.6,6.6,0.08,1.38,10.38,0.01,11.93,0.01
2025/04/26,tohoku,6.2,6.2,0.01,1.12,10.19,0.01,12,0.01
2025/04/26,tokyo,8.75,8.75,5.92,6.19,10.61,4.85,12,0.1
2025/04/27,chubu,7.07,7.07,1.67,2.85,9.58,0.62,14,0.01
2025/04/27,chugoku,7.07,7.07,1.67,2.85,9.58,0.62,14,0.01
2025/04/27,hokkaido,5.39,5.39,0.22,1.92,7.82,0.01,13.82,0.01
2025/04/27,hokuriku,7.07,7.07,1.67,2.85,9.58,0.62,14,0.01
2025/04/27,kansai,7.07,7.07,1.67,2.85,9.58,0.62,14,0.01
2025/04/27,kyushu,6.71,6.71,0.44,1.99,9.58,0.01,14,0.01
2025/04/27,shikoku,6.93,6.93,1.55,2.6,9.58,0.62,14,0.01
2025/04/27,system,6.62,6.62,0.78,2.24,9.42,0.01,13.82,0.01
2025/04/27,tohoku,6.17,6.17,0.22,1.92,8.53,0.01,14,0.01
2025/04/27,tokyo,7.19,7.19,1.67,2.98,9.69,0.62,14,0.01
2025/04/28,chubu,11.81,11.81,11.43,11.87,11.41,10.93,15,10.32
2025/04/28,chugoku,11.8,11.8,11.43,11.87,11.39,10.93,15,10.21
2025/04/28,hokkaido,9.01,9.01,7.02,7.49,10.31,5.9,15.19,1
2025/04/28,hokuriku,11.8,11.8,11.43,11.87,11.39,10.93,15,10.21
2025/04/28,kansai,11.8,11.8,11.43,11.87,11.39,10.93,15,10.21
2025/04/28,kyushu,11.08,11.08,8.93,10.13,11.39,8.54,15,7.69
2025/04/28,shikoku,11.8,11.8,11.43,11.87,11.39,10.93,15,10.21
2025/04/28,system,11.37,11.37,10.44,11.07,11.21,9.81,14.95,7.89
2025/04/28,tohoku,11.36,11.36,10.12,10.96,11.39,9.03,15.19,6.6
2025/04/28,tokyo,11.84,11.84,11.5,11.92,11.43,10.93,15.19,10.32
2025/04/29,chubu,7.31,7.31,0.47,1.85,10.91,0.02,15,0.01
2025/04/29,chugoku,7.18,7.18,0.22,1.6,10.86,0.01,15,0.01
2025/04/29,hokkaido,7.33,7.33,2.28,3.49,9.32,2.26,15.33,0.01
2025/04/29,hokuriku,7.18,7.18,0.22,1.6,10.86,0.01,15,0.01
2025/04/29,kansai,7.18,7.18,0.22,1.6,10.86,0.01,15,0.01
2025/04/29,kyushu,7.05,7.05,0.01,1.28,10.86,0.01,15,0.01
2025/04/29,shikoku,7.18,7.18,0.22,1.6,10.86,0.01,15,0.01
2025/04/29,system,7.32,7.32,0.22,1.97,10.7,0.01,15,0.01
2025/04/29,tohoku,7.44,7.44,0.46,2.51,10.45,0.01,15.33,0.01
2025/04/29,tokyo,7.62,7.62,0.47,2.52,10.94,0.02,15.33,0.01
2025/04/30,chubu,8.18,8.18,2.28,4.3,10.75,0.57,15.05,0.01
2025/04/30,chugoku,8.14,8.14,2.14,4.2,10.75,0.47,15.05,0.01
2025/04/30,hokkaido,7.47,7.47,0.79,3.25,8.83,0.01,15.39,0.01
2025/04/30,hokuriku,8.14,8.14,2.14,4.2,10.75,0.47,15.05,0.01
2025/04/30,kansai,8.14,8.14,2.14,4.2,10.75,0.47,15.05,0.01
2025/04/30,kyushu,7.32,7.32,0.08,2.23,10.75,0.01,15.05,0.01
2025/04/30,shikoku,8.08,8.08,1.93,4.06,10.75,0.36,15.05,0.01
2025/04/30,system,7.89,7.89,1.5,3.8,10.37,0.22,15.19,0.01
2025/04/30,tohoku,7.71,7.71,0.8,3.41,9.28,0.01,15.39,0.01
2025/04/30,tokyo,9.69,9.69,5.01,6.46,11.12,3.68,15.39,0.73
2025/05/01,chubu,9.6,9.6,4.01,6.21,12.24,2.73,15.43,0.02
2025/05/01,chugoku,9.59,9.59,4,6.2,12.21,2.71,15.43,0.02
2025/05/01,hokkaido,9.08,9.08,1.86,4.98,12.36,0.66,15.92,0.01
2025/05/01,hokuriku,9.59,9.59,4,6.2,12.21,2.71,15.43,0.02
2025/05/01,kansai,9.59,9.59,4,6.2,12.21,2.71,15.43,0.02
2025/05/01,kyushu,9.59,9.59,4,6.2,12.21,2.71,15.43,0.02
2025/05/01,shikoku,9.57,9.57,3.94,6.16,12.21,2.63,15.43,0.01
2025/05/01,system,9.89,9.89,4.72,6.85,12.28,3.37,15.27,1
2025/05/01,tohoku,9.12,9.12,1.99,5.08,12.36,0.66,15.92,0.01
2025/05/01,tokyo,11.28,11.28,8.92,10.02,12.47,8.67,15.92,6.5
2025/05/02,chubu,12.57,12.57,12.92,12.8,11.71,12.8,15.35,10.31
2025/05/02,chugoku,10.97,10.97,8.25,9.38,11.27,7.15,15.35,0.81
2025/05/02,hokkaido,10.51,10.51,7.47,8.77,11.21,7.44,15.35,6.01
2025/05/02,hokuriku,10.97,10.97,8.25,9.38,11.27,7.15,15.35,0.81
2025/05/02,kansai,10.97,10.97,8.25,9.38,11.27,7.15,15.35,0.81
2025/05/02,kyushu,8,8,0.5,2.62,11.27,0.01,15.35,0.01
2025/05/02,shikoku,8.57,8.57,2.3,3.84,11.27,0.96,15.35,0.01
2025/05/02,system,11.17,11.17,9.34,9.96,11.38,8.76,15.32,6.57
2025/05/02,tohoku,11.43,11.43,10.56,10.97,11.21,10.46,15.39,6.01
2025/05/02,tokyo,12.96,12.96,14.1,13.68,11.76,13.81,15.39,11.14
2025/05/03,chubu,7.01,7.01,0.58,1.94,10.59,0.11,14.1,0.01
2025/05/03,chugoku,6.77,6.77,0.01,1.43,10.51,0.01,14.1,0.01
2025/05/03,hokkaido,7.34,7.34,0.68,2.52,10.56,0.01,14.14,0.01
2025/05/03,hokuriku,6.77,6.77,0.01,1.43,10.51,0.01,14.1,0.01
